district,season,rainfall_mm,avg_temp_C,humidity_%,pH,N_kg_ha,P_kg_ha,K_kg_ha,crop
Hassan,Rabi,1038.8,28.1,71.4,7.19,106.02,35.02,109.12,Sugarcane
Vijayapura,Rabi,739.7,27.1,75.7,6.4,72.69,60.17,72.21,Onion
Udupi,Rabi,3589.4,23.7,42.9,5.07,67.75,30.87,27.55,Coconut
Shivamogga,Kharif,1628.2,21.3,75.2,5.9,128.95,68.48,220.91,Arecanut
Bagalkote,Kharif,644.3,24.7,75.3,6.54,19.9,31.51,41.04,Groundnut
Ramanagara,Rabi,701.9,31.4,70.3,5.94,38.67,39.44,45.67,Ragi
Belagavi,Rabi,845.3,30.1,55.2,6.2,20.19,13.47,21.32,Pulses
Haveri,Kharif,757.3,29.6,30.2,6.33,22.54,23.7,34.9,Groundnut
Dharwad,Rabi,727.5,29.4,51.2,6.4,31.96,36.12,36.38,Groundnut
Udupi,Kharif,2654.4,28.5,74.1,5.95,56.98,26.52,20.89,Coconut
Hassan,Summer,910.4,29.9,52.7,6.9,148.13,48.11,174.07,Arecanut
Dakshina Kannada,Rabi,3177.9,25.4,90.5,5.12,86.44,62.65,66.1,Pepper
Vijayapura,Rabi,592.5,36.9,55.4,7.2,58.12,30.25,26.12,Sorghum
Dakshina Kannada,Rabi,3227.0,28.2,84.0,6.1,165.82,87.09,285.76,Banana
Hassan,Kharif,1037.0,24.8,75.4,6.5,96.75,40.13,62.94,Paddy
Mandya,Summer,816.0,20.9,78.7,7.23,97.29,32.32,47.99,Paddy
Mandya,Rabi,816.1,27.3,41.6,8.08,50.86,29.5,24.35,Ragi
Belagavi,Kharif,1064.4,30.9,83.6,7.38,101.11,45.95,66.51,Maize
Dharwad,Kharif,862.5,30.7,63.1,7.6,99.82,46.17,46.69,Wheat
Gadag,Summer,736.1,22.4,49.7,7.87,62.23,17.57,26.96,Jowar
Chitradurga,Rabi,534.6,32.2,71.3,5.73,23.87,40.5,45.88,Groundnut
Udupi,Kharif,2956.1,30.2,72.0,5.75,118.53,68.21,129.88,Arecanut
Gadag,Year-round,545.9,29.0,50.6,7.89,72.4,15.27,56.19,Cotton
Bagalkote,Kharif,682.5,30.5,31.6,7.76,43.2,15.29,32.44,Sorghum
Shivamogga,Rabi,1106.0,28.4,89.1,5.6,109.79,59.08,99.77,Vegetables
Udupi,Kharif,2988.7,25.0,45.1,5.51,147.11,139.78,208.5,Banana
Bagalkote,Kharif,756.8,27.1,68.0,7.14,84.9,26.77,45.34,Cotton
Mandya,Kharif,760.6,33.1,41.4,6.44,124.38,35.35,77.04,Paddy
Gadag,Kharif,521.5,30.5,64.5,6.38,40.05,39.82,34.12,Groundnut
Chitradurga,Year-round,592.6,22.6,42.1,6.66,60.55,24.6,22.79,Sorghum
Hassan,Kharif,806.3,25.4,47.4,6.81,155.57,57.26,147.16,Arecanut
Udupi,Rabi,3767.9,24.1,87.2,6.05,116.12,39.7,38.48,Paddy
Mandya,Year-round,963.0,26.4,78.9,6.45,54.72,24.55,30.34,Ragi
Belagavi,Rabi,805.9,22.6,34.0,7.64,108.94,44.78,120.59,Sugarcane
Udupi,Summer,3506.6,25.6,55.6,6.07,130.83,82.2,181.78,Arecanut
Haveri,Kharif,771.3,22.6,31.2,6.28,82.44,46.51,52.02,Maize
Ramanagara,Rabi,706.3,18.9,30.8,6.32,81.49,41.66,42.68,Tomato
Vijayapura,Kharif,460.4,26.1,38.4,7.44,95.83,53.73,70.1,Onion
Gadag,Rabi,694.3,29.8,38.8,6.78,52.37,27.4,31.6,Jowar
Mysuru,Summer,1199.2,25.0,60.3,7.27,34.25,18.73,30.54,Ragi
Bagalkote,Kharif,764.5,25.5,38.8,6.24,99.0,30.88,36.55,Cotton
Mandya,Rabi,777.2,26.8,43.0,6.63,91.12,47.53,35.5,Vegetables
Belagavi,Kharif,1027.1,26.6,57.3,7.86,112.51,34.15,63.08,Maize
Gadag,Summer,772.6,22.2,60.2,7.84,51.77,26.9,37.29,Jowar
Kalaburagi,Kharif,599.7,29.7,51.9,6.47,118.72,36.75,125.08,Sugarcane
Mysuru,Kharif,1172.4,20.9,92.4,8.07,91.16,37.09,74.54,Paddy
Kalaburagi,Kharif,536.9,29.8,48.4,7.96,104.75,42.11,55.56,Paddy
Udupi,Year-round,2771.5,30.1,47.0,5.8,182.44,76.05,138.32,Arecanut
Dharwad,Year-round,762.2,30.7,42.9,8.16,93.91,32.86,38.45,Wheat
Haveri,Summer,782.7,28.3,35.8,6.5,27.55,28.32,23.94,Pulses
Chitradurga,Kharif,616.9,36.0,59.6,7.28,45.18,25.76,21.57,Sorghum
Kalaburagi,Rabi,583.6,30.5,64.0,6.74,42.23,22.64,31.8,Jowar
Bagalkote,Kharif,706.9,26.4,30.8,6.36,18.45,22.92,24.85,Pulses
Belagavi,Kharif,1150.0,21.9,65.4,6.92,107.69,32.62,68.19,Maize
Gadag,Kharif,762.5,33.1,48.6,7.19,76.18,37.81,41.2,Cotton
Dakshina Kannada,Summer,3100.4,24.1,54.3,6.11,92.64,34.18,101.74,Pepper
Chitradurga,Kharif,619.4,33.4,34.6,5.87,74.84,31.08,48.02,Cotton
Chitradurga,Year-round,643.4,35.1,35.2,7.31,30.01,50.01,53.25,Groundnut
Dakshina Kannada,Kharif,3359.3,25.0,80.6,6.29,58.03,32.22,34.24,Coconut
Haveri,Rabi,897.6,25.7,52.5,6.81,25.27,39.66,32.67,Groundnut
Haveri,Rabi,698.5,28.4,78.3,6.85,78.66,26.82,35.35,Cotton
Gadag,Kharif,713.6,32.4,47.9,7.6,57.04,29.99,19.68,Jowar
Mysuru,Kharif,1185.1,26.5,46.2,6.48,152.73,32.44,121.28,Sugarcane
Kalaburagi,Rabi,536.4,24.7,50.5,6.99,98.5,46.64,65.72,Paddy
Mandya,Kharif,937.0,30.4,69.1,6.61,109.96,49.28,108.21,Vegetables
Bagalkote,Rabi,720.6,32.6,38.4,7.5,65.41,39.71,40.34,Sunflower
Bagalkote,Rabi,747.3,32.4,35.0,7.85,112.89,40.52,114.82,Sugarcane
Dakshina Kannada,Rabi,3827.3,31.3,74.8,5.43,65.99,21.48,38.03,Coconut
Shivamogga,Kharif,1717.7,19.5,60.3,6.42,103.42,42.65,73.72,Sugarcane
Hassan,Rabi,1001.9,29.5,75.0,7.41,99.39,52.8,67.56,Paddy
Vijayapura,Kharif,461.9,25.3,51.7,7.14,113.49,22.08,136.0,Sugarcane
Hassan,Summer,1114.5,21.9,89.3,6.42,41.59,15.72,46.83,Ragi
Kalaburagi,Rabi,696.3,26.8,45.1,7.39,87.5,48.48,152.83,Sugarcane
Belagavi,Kharif,925.0,25.1,43.4,7.39,8.92,21.99,23.95,Pulses
Dakshina Kannada,Rabi,3867.0,28.0,74.8,5.48,35.13,31.14,30.42,Coconut
Udupi,Summer,3620.4,22.7,76.3,6.03,203.38,127.2,310.29,Banana
Chitradurga,Kharif,695.5,31.1,55.2,7.4,79.83,19.02,22.45,Cotton
Belagavi,Summer,1053.4,30.1,58.5,7.36,26.05,42.26,37.94,Groundnut
Belagavi,Kharif,1103.9,24.9,41.5,7.42,81.22,24.78,62.87,Maize
Belagavi,Year-round,1142.5,25.7,80.2,6.53,112.99,46.87,146.62,Sugarcane
Dharwad,Kharif,894.5,23.0,35.1,7.78,49.24,18.66,26.27,Jowar
Ramanagara,Summer,913.0,20.5,65.6,7.49,56.92,16.48,54.37,Ragi
Shivamogga,Rabi,1999.1,20.4,45.2,5.13,82.62,50.47,62.76,Paddy
Hassan,Rabi,1010.0,30.0,74.4,6.72,78.65,64.3,121.08,Coffee
Vijayapura,Rabi,515.3,32.9,61.5,7.76,66.61,56.7,85.5,Onion
Udupi,Rabi,3637.1,28.9,88.6,5.63,190.88,82.89,346.92,Banana
Bagalkote,Kharif,694.4,27.8,64.4,7.89,61.86,34.22,46.36,Sunflower
Haveri,Kharif,618.0,32.3,75.1,7.53,83.26,54.28,61.19,Maize
Ramanagara,Kharif,980.8,18.8,57.5,6.86,184.47,69.62,98.55,Mulberry
Bagalkote,Year-round,671.1,32.3,36.7,6.43,36.98,16.78,19.17,Pulses
Dharwad,Kharif,985.0,29.7,46.9,7.96,129.58,30.94,43.92,Wheat
Bagalkote,Kharif,787.6,28.9,65.4,6.96,65.62,24.06,43.9,Sunflower
Hassan,Kharif,988.3,23.4,70.7,7.18,87.56,37.29,74.68,Paddy
Mandya,Kharif,893.3,31.5,64.8,8.01,73.77,31.66,49.68,Coconut
Dharwad,Kharif,895.3,26.7,48.7,6.33,115.61,37.85,40.45,Wheat
Chitradurga,Kharif,696.5,32.3,55.9,7.47,15.55,15.97,24.04,Pulses
Vijayapura,Kharif,719.3,37.5,53.9,7.94,133.61,52.9,128.08,Grapes
Kalaburagi,Rabi,622.4,24.2,44.0,6.53,73.54,44.76,57.99,Paddy
Belagavi,Rabi,899.1,27.2,31.7,7.68,13.42,13.75,19.45,Pulses
Udupi,Kharif,2877.9,26.0,87.3,5.43,102.22,41.77,40.29,Paddy
Shivamogga,Summer,1825.3,20.4,86.4,6.24,91.97,35.63,122.38,Sugarcane
Hassan,Kharif,1150.6,20.4,73.6,6.65,69.37,35.05,37.71,Paddy
Mysuru,Kharif,1060.2,22.7,77.8,7.26,86.78,50.07,105.26,Vegetables
Gadag,Kharif,762.6,29.3,64.2,8.06,32.9,46.67,57.56,Groundnut
Udupi,Rabi,3667.6,26.2,73.3,5.37,45.02,27.97,51.97,Coconut
Chitradurga,Rabi,611.1,24.5,44.5,7.54,16.99,21.05,16.94,Pulses
Chitradurga,Rabi,659.3,35.0,36.7,6.83,34.23,18.45,13.88,Sorghum
Kalaburagi,Rabi,434.6,33.5,40.5,7.84,74.16,25.98,46.5,Sunflower
Udupi,Summer,2826.9,31.2,77.4,5.51,178.27,68.41,185.98,Arecanut
Dakshina Kannada,Kharif,3112.9,26.0,88.2,5.44,127.57,41.24,56.48,Paddy
Hassan,Kharif,1106.6,21.9,88.1,7.46,94.57,54.15,79.8,Vegetables
Dakshina Kannada,Rabi,2853.9,27.3,53.9,5.95,93.33,58.42,102.83,Pepper
Dharwad,Rabi,908.8,20.2,52.0,6.46,10.4,11.2,8.5,Pulses
Vijayapura,Rabi,674.2,24.3,73.6,7.76,103.82,47.59,96.71,Sugarcane
Dharwad,Summer,875.4,24.5,65.2,7.02,89.59,39.98,44.18,Maize
Mysuru,Rabi,911.1,28.8,56.9,7.1,55.77,25.45,28.22,Mango
Bagalkote,Summer,668.6,33.4,36.1,7.95,99.21,43.29,47.24,Wheat
Udupi,Rabi,3168.9,27.5,41.8,5.85,109.4,36.7,67.38,Paddy
Dharwad,Year-round,963.4,29.6,40.6,7.25,23.64,23.34,24.21,Pulses
Dakshina Kannada,Rabi,2738.4,29.1,56.7,6.05,164.68,50.12,176.75,Arecanut
Belagavi,Kharif,848.6,21.5,74.2,7.29,111.47,47.62,52.55,Maize
Mandya,Kharif,808.0,21.4,74.6,7.37,102.28,25.49,64.51,Coconut
Kalaburagi,Rabi,580.4,28.9,32.5,7.46,14.07,22.44,28.39,Pulses
Gadag,Year-round,723.0,28.9,69.4,6.93,30.37,18.57,25.93,Groundnut
Belagavi,Kharif,843.5,28.8,55.8,7.63,185.29,50.53,218.56,Arecanut
Shivamogga,Rabi,1812.9,23.2,81.6,5.84,54.83,18.03,27.8,Millets
Bagalkote,Kharif,623.4,29.2,78.8,6.53,91.31,26.38,36.7,Cotton
Ramanagara,Summer,810.1,21.6,68.9,5.82,35.69,34.81,52.89,Groundnut
Dharwad,Rabi,779.5,31.8,67.4,7.05,41.22,16.58,34.64,Jowar
Gadag,Rabi,541.0,23.6,48.4,7.37,34.31,53.21,29.63,Groundnut
Gadag,Kharif,753.6,35.3,56.5,6.29,28.91,18.79,16.76,Pulses
Dakshina Kannada,Rabi,3077.5,24.9,75.6,6.4,90.39,25.27,66.05,Paddy
Belagavi,Rabi,1119.3,26.3,68.3,7.95,74.46,37.3,44.13,Rice
Gadag,Kharif,693.1,31.4,71.1,7.88,36.9,41.95,54.26,Groundnut
Gadag,Kharif,752.6,32.4,31.9,6.23,28.61,18.59,12.22,Pulses
Vijayapura,Kharif,453.4,25.0,49.0,6.5,63.47,18.59,39.01,Sorghum
Haveri,Summer,764.0,28.1,77.2,7.92,61.16,29.69,37.66,Cotton
Dharwad,Rabi,886.1,30.8,71.4,7.28,23.39,32.93,27.4,Groundnut
Mysuru,Rabi,897.1,18.8,36.3,7.17,71.2,62.98,62.55,Vegetables
Hassan,Rabi,849.7,19.2,47.5,6.21,146.63,61.83,150.23,Arecanut
Haveri,Kharif,674.8,24.3,64.3,6.33,90.98,28.8,54.75,Maize
Mysuru,Kharif,978.2,20.8,91.2,6.26,71.79,56.86,60.82,Paddy
Dharwad,Summer,795.7,30.6,51.0,7.97,27.47,36.93,37.06,Groundnut
Bagalkote,Kharif,679.9,28.2,35.8,7.63,15.54,19.79,19.98,Pulses
Mandya,Kharif,901.4,26.4,87.3,8.17,80.87,23.11,48.81,Coconut
Haveri,Rabi,680.4,32.2,75.5,7.39,118.88,38.38,58.4,Maize
Mandya,Kharif,731.8,28.2,47.1,6.54,71.1,52.87,78.12,Vegetables
Bagalkote,Kharif,604.8,24.5,34.8,7.7,82.45,28.01,32.46,Cotton
Hassan,Rabi,998.8,23.7,68.3,8.01,75.45,66.98,76.34,Coffee
Haveri,Summer,665.0,29.2,40.6,6.84,56.76,23.22,29.8,Jowar
Mysuru,Kharif,1162.8,20.6,73.6,6.86,36.89,33.5,46.35,Mango
Gadag,Rabi,587.9,35.0,32.4,7.06,42.06,22.99,36.85,Sorghum
Dakshina Kannada,Rabi,2652.2,23.7,64.8,5.82,159.5,43.07,161.11,Arecanut
Gadag,Year-round,726.2,25.2,45.9,6.88,46.68,20.98,25.85,Jowar
Kalaburagi,Kharif,540.3,33.9,30.3,7.66,62.14,20.7,31.85,Jowar
Mysuru,Rabi,1169.6,21.0,53.5,7.17,47.17,24.48,26.67,Ragi
Mandya,Kharif,905.4,20.3,51.7,7.54,42.38,30.08,35.38,Ragi
Shivamogga,Kharif,1880.7,18.7,80.7,5.87,41.51,19.46,10.72,Millets
Bagalkote,Rabi,633.9,26.3,74.3,7.48,114.15,61.95,38.01,Wheat
Vijayapura,Rabi,631.3,29.2,71.7,7.23,83.37,81.91,81.58,Onion
Haveri,Kharif,897.0,29.5,38.6,7.2,50.42,31.75,33.66,Jowar
Bagalkote,Kharif,752.4,27.6,70.4,7.93,52.93,21.04,34.59,Sorghum
Belagavi,Kharif,1126.2,26.2,76.6,6.38,140.22,33.25,100.46,Sugarcane
Bagalkote,Kharif,648.0,32.9,54.2,6.24,25.7,19.91,19.93,Pulses
Gadag,Rabi,648.1,22.3,79.4,8.1,36.96,23.18,17.97,Jowar
Hassan,Kharif,850.3,28.4,33.0,7.06,83.13,64.66,67.29,Vegetables
Dakshina Kannada,Rabi,2691.3,26.7,74.4,5.69,240.12,149.25,282.12,Banana
Hassan,Rabi,854.0,21.1,32.5,6.24,37.67,28.24,18.05,Ragi
Hassan,Rabi,837.9,18.1,66.0,7.84,90.04,44.34,60.59,Paddy
Gadag,Rabi,763.2,24.2,42.2,6.99,46.2,22.48,31.72,Jowar
Chitradurga,Kharif,741.2,30.4,49.3,6.71,48.66,54.63,36.39,Groundnut
Vijayapura,Kharif,572.9,32.4,73.8,7.43,18.58,14.19,19.06,Pulses
Haveri,Rabi,889.0,24.4,57.2,7.76,131.4,31.65,60.86,Maize
Shivamogga,Rabi,1570.1,31.2,58.4,5.78,80.28,29.07,33.09,Coconut
Hassan,Kharif,1070.2,28.8,78.4,6.42,136.07,46.01,66.0,Paddy
Dharwad,Kharif,778.7,33.9,41.0,6.39,41.96,30.3,31.94,Jowar
Kalaburagi,Rabi,553.9,25.5,56.0,6.22,115.45,25.63,143.37,Sugarcane
Mysuru,Kharif,816.6,27.3,40.1,7.27,43.8,39.13,48.83,Groundnut
Ramanagara,Rabi,997.2,33.4,87.1,7.55,41.04,27.82,40.28,Ragi
Vijayapura,Kharif,617.4,34.5,39.2,6.56,117.38,41.98,85.85,Grapes
Ramanagara,Summer,821.1,25.9,53.2,6.88,63.86,57.73,51.94,Maize
Vijayapura,Rabi,463.1,31.3,44.2,7.74,15.5,25.25,20.87,Pulses
Kalaburagi,Rabi,645.9,33.6,37.7,7.19,68.21,38.83,58.83,Paddy
Shivamogga,Year-round,1774.8,23.0,67.8,5.22,156.34,50.53,221.38,Arecanut
Haveri,Kharif,796.2,31.4,46.5,6.23,138.4,27.01,66.94,Maize
Mysuru,Rabi,876.7,24.9,60.2,6.68,91.93,32.96,32.31,Mango
Chitradurga,Kharif,693.9,35.2,74.9,6.19,84.16,19.86,47.71,Cotton
Hassan,Rabi,968.8,20.1,70.7,6.31,37.3,26.38,33.18,Ragi
Ramanagara,Kharif,898.4,24.3,74.6,7.57,40.57,38.58,26.53,Groundnut
Shivamogga,Summer,2168.0,25.5,65.6,5.84,78.9,46.07,113.47,Sugarcane
Ramanagara,Kharif,871.5,24.2,31.4,6.66,173.11,91.55,122.17,Mulberry
Dakshina Kannada,Rabi,2304.5,25.0,94.9,5.1,100.62,44.19,64.18,Paddy
Ramanagara,Rabi,801.2,33.9,41.6,6.95,61.83,16.12,48.94,Ragi
Chitradurga,Year-round,644.2,32.1,44.0,7.23,32.92,35.86,37.47,Groundnut
Haveri,Kharif,839.5,25.1,70.8,7.65,11.38,25.91,25.27,Pulses
Mysuru,Summer,1029.6,26.6,53.2,7.45,103.93,39.91,47.02,Paddy
Hassan,Kharif,1172.4,21.1,42.4,6.88,39.02,16.95,25.31,Ragi
Mandya,Kharif,871.6,29.6,60.9,7.38,97.42,30.97,56.25,Paddy
Mandya,Rabi,770.5,31.2,54.3,7.03,88.07,41.7,65.04,Sugarcane
Dharwad,Kharif,758.6,27.6,46.1,7.76,26.26,26.82,23.02,Pulses
Vijayapura,Kharif,503.9,27.1,45.7,7.16,13.69,25.88,17.85,Pulses
Dakshina Kannada,Year-round,3445.2,29.2,74.2,5.48,54.45,30.42,37.09,Coconut
Shivamogga,Rabi,1685.4,30.2,92.9,5.39,112.38,26.41,68.01,Paddy
Shivamogga,Year-round,1867.7,18.9,58.7,6.12,168.41,58.15,199.42,Arecanut
Dharwad,Kharif,902.0,29.8,63.5,7.57,95.7,47.05,42.83,Wheat
Dakshina Kannada,Rabi,3846.8,23.1,64.9,5.06,120.3,39.82,32.0,Paddy
Gadag,Kharif,674.0,33.3,55.7,6.71,24.43,21.18,25.21,Pulses
Hassan,Year-round,848.2,26.0,52.9,7.76,97.5,64.81,104.68,Coffee
Belagavi,Kharif,1075.5,20.7,57.6,7.99,71.51,19.16,36.37,Rice
Shivamogga,Summer,1759.0,30.5,81.9,6.4,148.68,49.28,50.43,Paddy
Hassan,Kharif,1199.0,18.2,57.7,7.79,39.53,61.54,107.84,Vegetables
Gadag,Rabi,534.8,24.5,76.8,7.72,23.18,14.44,30.37,Pulses
Bagalkote,Kharif,686.2,33.7,68.0,8.08,56.02,14.1,30.98,Sorghum
Gadag,Rabi,714.8,27.6,58.9,6.81,54.8,18.61,39.47,Sorghum
Haveri,Rabi,776.2,32.1,77.3,6.45,36.56,37.0,46.07,Groundnut
Mandya,Rabi,899.8,27.7,64.9,6.29,121.03,38.24,60.22,Paddy
Mysuru,Kharif,941.2,29.8,70.1,7.11,30.95,48.24,44.24,Groundnut
Mysuru,Year-round,1078.9,20.6,45.9,6.7,155.37,46.0,138.57,Sugarcane
Hassan,Kharif,884.9,24.1,77.1,7.16,107.89,43.53,124.32,Sugarcane
Chitradurga,Kharif,674.3,29.7,75.3,6.27,18.86,22.43,19.8,Pulses
Haveri,Year-round,634.1,27.6,72.2,7.96,16.01,21.04,27.73,Pulses
Ramanagara,Rabi,977.9,28.1,66.8,5.91,69.54,37.15,39.66,Ragi
Udupi,Rabi,3608.2,31.8,76.1,6.06,91.3,50.94,76.34,Paddy
Haveri,Kharif,665.1,27.5,37.9,6.52,105.62,36.01,39.11,Cotton
Ramanagara,Kharif,863.5,23.0,53.1,6.44,169.34,95.74,119.33,Mulberry
Dakshina Kannada,Rabi,3700.5,22.7,71.1,5.46,201.08,83.46,212.85,Rubber
Ramanagara,Rabi,932.1,21.1,88.2,7.13,109.68,38.89,58.2,Maize
Udupi,Year-round,2814.1,30.6,50.5,5.54,86.73,41.4,76.36,Paddy
Vijayapura,Kharif,487.9,28.1,68.4,8.13,123.06,27.85,166.0,Sugarcane
Vijayapura,Rabi,639.4,24.9,57.7,6.87,132.87,50.54,151.26,Sugarcane
Mandya,Summer,946.4,25.5,43.2,7.87,79.21,58.92,84.71,Vegetables
Hassan,Rabi,928.2,27.9,46.2,6.29,133.59,51.35,277.66,Arecanut
Udupi,Kharif,3772.9,24.2,47.9,6.5,152.77,58.61,182.25,Arecanut
Hassan,Rabi,910.0,21.7,56.7,7.11,111.2,56.11,139.01,Sugarcane
Haveri,Year-round,651.8,28.6,42.8,6.61,98.41,44.14,67.93,Maize
Hassan,Summer,1168.8,25.5,84.4,7.16,65.6,56.11,132.55,Coffee
Shivamogga,Year-round,1420.3,25.7,49.0,5.81,129.64,35.63,64.36,Paddy
Vijayapura,Rabi,680.7,25.8,33.8,8.13,107.27,54.43,124.9,Grapes
Kalaburagi,Rabi,488.5,36.9,51.9,6.97,84.69,61.31,64.62,Paddy
Belagavi,Rabi,949.4,26.8,77.1,7.5,57.28,28.03,38.57,Rice
Gadag,Kharif,505.4,31.0,34.2,6.77,56.26,23.5,29.84,Jowar
Dharwad,Rabi,941.6,27.2,59.3,7.1,15.0,16.85,19.05,Pulses
Belagavi,Summer,998.9,20.1,68.5,7.83,80.17,27.75,38.47,Rice
Dharwad,Year-round,959.9,28.2,52.0,8.14,102.61,32.06,40.86,Wheat
Udupi,Rabi,2713.2,30.2,58.4,5.01,60.89,33.49,71.23,Cashew
Shivamogga,Rabi,1646.0,28.0,90.9,6.23,59.66,34.72,81.89,Vegetables
Vijayapura,Kharif,516.0,34.3,63.1,7.87,55.23,22.45,29.86,Sorghum
Hassan,Kharif,1121.5,27.7,57.3,7.21,33.94,38.06,82.47,Vegetables
Haveri,Kharif,686.9,29.0,51.5,7.22,57.64,19.5,25.79,Jowar
Gadag,Rabi,745.8,32.8,41.8,6.48,16.9,20.58,21.69,Pulses
Dakshina Kannada,Kharif,3797.1,30.9,90.2,6.27,163.96,59.12,188.94,Arecanut
Udupi,Rabi,3710.0,29.8,67.1,6.43,117.14,44.52,57.98,Paddy
Bagalkote,Kharif,711.3,29.7,76.8,6.98,24.07,28.83,38.27,Groundnut
Gadag,Rabi,777.6,28.3,41.1,7.2,28.65,45.22,41.51,Groundnut
Hassan,Kharif,1005.3,25.9,52.6,6.31,95.25,43.97,57.64,Vegetables
Mysuru,Rabi,919.6,31.3,40.9,7.15,125.64,59.23,53.51,Vegetables
Mandya,Kharif,983.0,29.1,81.8,7.43,58.67,33.4,37.52,Paddy
Chitradurga,Kharif,627.2,30.8,60.3,5.98,117.6,43.72,48.75,Maize
Hassan,Kharif,955.5,20.7,74.2,7.55,80.08,39.74,64.81,Paddy
Mysuru,Kharif,1116.9,19.3,91.8,7.06,51.33,12.97,30.95,Ragi
Mysuru,Kharif,813.8,20.4,54.9,6.61,105.95,37.46,70.96,Vegetables
Ramanagara,Rabi,954.6,31.6,63.0,7.02,44.93,46.56,33.59,Groundnut
Kalaburagi,Kharif,408.2,34.7,35.3,6.55,18.16,24.08,24.13,Pulses
Dharwad,Rabi,939.3,32.8,42.6,7.77,22.17,28.23,9.47,Pulses
Ramanagara,Rabi,704.7,33.2,41.5,6.99,54.82,22.4,41.68,Ragi
Shivamogga,Kharif,1433.1,28.6,52.0,5.95,171.37,54.72,184.42,Arecanut
Ramanagara,Kharif,923.9,24.7,40.3,6.68,104.58,41.93,75.87,Maize
Belagavi,Year-round,1175.6,26.7,82.4,6.92,50.1,30.21,39.57,Rice
Kalaburagi,Summer,670.8,24.8,47.4,6.89,18.22,19.34,15.49,Pulses
Vijayapura,Rabi,505.5,32.1,34.0,7.48,82.29,58.09,116.67,Grapes
Ramanagara,Rabi,983.4,27.5,41.1,7.34,150.97,94.77,115.2,Mulberry
Belagavi,Kharif,849.4,28.6,79.3,7.82,43.71,37.65,44.06,Groundnut
Mysuru,Rabi,870.2,22.7,63.6,7.88,22.03,47.25,29.42,Groundnut
Vijayapura,Summer,460.0,30.9,71.8,6.95,63.63,20.9,31.56,Sorghum
Dakshina Kannada,Kharif,3033.7,26.5,92.2,5.5,227.56,65.26,198.65,Rubber
Udupi,Rabi,2970.4,29.8,45.5,6.16,148.86,122.64,310.12,Banana
Haveri,Summer,835.8,25.2,44.6,8.1,95.94,42.08,61.89,Maize
Haveri,Rabi,710.5,28.5,49.8,6.41,66.45,15.94,38.86,Jowar
Hassan,Kharif,1112.7,18.6,67.0,6.34,102.07,49.16,70.1,Paddy
Haveri,Year-round,898.5,22.6,69.6,8.19,125.16,42.08,92.8,Maize
Hassan,Rabi,1050.5,26.1,77.7,7.33,110.53,66.8,181.02,Arecanut
Udupi,Kharif,2983.1,25.6,93.7,6.25,48.72,17.95,41.41,Coconut
Udupi,Rabi,3527.2,26.1,48.1,5.88,57.75,34.79,82.33,Cashew
Mandya,Rabi,760.0,20.8,63.2,8.19,63.83,40.26,59.95,Coconut
Kalaburagi,Year-round,540.7,33.6,72.2,8.19,46.32,35.43,47.98,Sunflower
Shivamogga,Year-round,2135.5,19.0,79.7,5.05,39.1,33.59,34.66,Coconut
Bagalkote,Year-round,741.3,29.1,65.4,6.38,111.16,39.14,126.35,Sugarcane
Udupi,Summer,3681.4,29.3,56.0,5.15,212.55,51.05,133.38,Arecanut
Ramanagara,Kharif,927.2,30.7,65.4,7.31,142.85,51.59,143.29,Mulberry
Belagavi,Kharif,905.6,31.9,67.5,6.34,98.84,40.41,60.58,Maize
Bagalkote,Kharif,705.1,33.6,78.3,7.16,26.91,38.59,36.46,Groundnut
Kalaburagi,Summer,529.4,36.5,52.8,6.85,82.79,32.53,59.71,Paddy
Hassan,Year-round,964.2,21.0,62.5,7.08,87.33,58.69,92.83,Vegetables
Mandya,Kharif,745.5,30.4,49.1,7.7,102.5,38.84,70.5,Paddy
Vijayapura,Kharif,716.2,28.0,33.7,8.09,84.03,79.77,84.86,Onion
Vijayapura,Kharif,704.1,24.0,50.4,7.22,131.57,34.75,124.96,Sugarcane
Dakshina Kannada,Kharif,3778.7,28.0,76.8,6.44,233.96,136.88,232.4,Banana
Gadag,Rabi,516.1,23.7,39.4,7.11,31.39,43.03,44.56,Groundnut
Kalaburagi,Kharif,594.5,37.7,66.4,6.47,148.83,41.11,55.36,Paddy
Mysuru,Kharif,877.5,26.9,63.8,6.28,85.54,66.03,57.36,Vegetables
Dharwad,Year-round,774.8,21.4,59.2,7.45,22.28,20.85,15.0,Pulses
Shivamogga,Kharif,2062.1,22.5,89.0,5.73,54.81,27.46,48.96,Coconut
Mysuru,Summer,965.9,24.3,44.5,7.14,144.86,37.48,100.55,Sugarcane
Belagavi,Rabi,1110.2,22.9,65.2,8.13,59.22,39.27,28.43,Rice
Ramanagara,Year-round,925.9,24.0,70.6,7.18,96.67,28.19,79.4,Tomato
Gadag,Rabi,584.2,23.4,73.6,7.25,82.84,33.3,43.12,Cotton
Hassan,Kharif,1123.6,27.0,84.2,6.27,79.94,46.36,92.45,Vegetables
Haveri,Rabi,849.1,31.2,78.4,7.81,31.51,37.54,48.37,Groundnut
Hassan,Year-round,1006.4,24.0,64.3,8.03,87.85,59.35,95.71,Coffee
Mandya,Summer,785.7,30.4,45.2,8.09,43.77,23.53,28.25,Ragi
Gadag,Kharif,557.2,28.2,37.8,8.19,48.89,19.2,30.69,Sorghum
